answer	path	n
cigar	[('soare', '00110', 42), ('riyal', '12020', 2), ('aargh', '10110', 1), ('cigar', '22222', 1)]	4
rebut	[('soare', '00011', 117), ('direr', '00110', 8), ('becke', '12000', 1), ('rebut', '22222', 1)]	4
sissy	[('soare', '20000', 63), ('thilk', '00100', 2), ('aalii', '00010', 1), ('sissy', '22222', 1)]	4
humph	[('soare', '00000', 183), ('clint', '00000', 15), ('gimpy', '00220', 1), ('humph', '22222', 1)]	4
awake	[('soare', '00202', 28), ('glitz', '00000', 8), ('cawks', '01120', 1), ('awake', '22222', 1)]	4
blush	[('soare', '10000', 33), ('hists', '10100', 3), ('abaft', '01000', 1), ('blush', '22222', 1)]	4
focal	[('soare', '02100', 21), ('liman', '10020', 3), ('abaft', '10010', 1), ('focal', '22222', 1)]	4
evade	[('soare', '00202', 28), ('glitz', '00000', 8), ('cawks', '01000', 2), ('aahed', '10011', 1), ('evade', '22222', 1)]	5
naval	[('soare', '00100', 138), ('clint', '01010', 5), ('abaka', '10100', 1), ('naval', '22222', 1)]	4
serve	[('soare', '20012', 4), ('abcee', '00012', 1), ('serve', '22222', 1)]	3
heath	[('soare', '00201', 21), ('depth', '02022', 1), ('heath', '22222', 1)]	3
dwarf	[('soare', '00220', 13), ('dhuti', '20000', 1), ('dwarf', '22222', 1)]	3
model	[('soare', '02001', 26), ('meynt', '21000', 2), ('aalii', '00100', 1), ('model', '22222', 1)]	4
karma	[('soare', '00110', 42), ('riyal', '10010', 4), ('abaka', '10012', 1), ('karma', '22222', 1)]	4
stink	[('soare', '20000', 63), ('thilk', '10202', 2), ('abaca', '00000', 1), ('stink', '22222', 1)]	4
grade	[('soare', '00212', 19), ('diact', '10200', 1), ('grade', '22222', 1)]	3
quiet	[('soare', '00001', 120), ('denet', '00022', 2), ('aalii', '00010', 1), ('quiet', '22222', 1)]	4
bench	[('soare', '00001', 120), ('denet', '02200', 3), ('abaca', '01020', 1), ('bench', '22222', 1)]	4
abate	[('soare', '00202', 28), ('glitz', '00020', 1), ('abate', '22222', 1)]	3
feign	[('soare', '00001', 120), ('denet', '02100', 6), ('abrin', '00012', 1), ('feign', '22222', 1)]	4
major	[('soare', '01110', 27), ('maron', '22120', 2), ('abaya', '10000', 1), ('major', '22222', 1)]	4
death	[('soare', '00201', 21), ('depth', '22022', 1), ('death', '22222', 1)]	3
fresh	[('soare', '10011', 15), ('richt', '10010', 2), ('aahed', '00110', 1), ('fresh', '22222', 1)]	4
crust	[('soare', '10010', 16), ('cruft', '22202', 1), ('crust', '22222', 1)]	3
stool	[('soare', '21000', 37), ('cloot', '01221', 1), ('stool', '22222', 1)]	3
colon	[('soare', '02000', 87), ('culty', '20200', 1), ('colon', '22222', 1)]	3
abase	[('soare', '10202', 7), ('leuch', '01000', 1), ('abase', '22222', 1)]	3
marry	[('soare', '00120', 11), ('machi', '22000', 1), ('marry', '22222', 1)]	3
react	[('soare', '00211', 4), ('ached', '11010', 1), ('react', '22222', 1)]	3
batty	[('soare', '00100', 138), ('clint', '00001', 7), ('flubs', '00010', 1), ('batty', '22222', 1)]	4
pride	[('soare', '00012', 39), ('pudic', '20110', 1), ('pride', '22222', 1)]	3
floss	[('soare', '11000', 7), ('agloo', '00110', 1), ('floss', '22222', 1)]	3
helix	[('soare', '00001', 120), ('denet', '02000', 7), ('hijab', '21000', 1), ('helix', '22222', 1)]	4
croak	[('soare', '01110', 27), ('maron', '01110', 2), ('aahed', '10000', 1), ('croak', '22222', 1)]	4
staff	[('soare', '20200', 41), ('thilk', '10000', 4), ('adman', '10000', 1), ('staff', '22222', 1)]	4
paper	[('soare', '00111', 61), ('talar', '02002', 15), ('pigmy', '20000', 2), ('aargh', '02100', 1), ('paper', '22222', 1)]	5
unfed	[('soare', '00001', 120), ('denet', '10120', 4), ('aswim', '00000', 1), ('unfed', '22222', 1)]	4
whelp	[('soare', '00001', 120), ('denet', '01000', 5), ('ahold', '02020', 1), ('whelp', '22222', 1)]	4
trawl	[('soare', '00210', 40), ('clint', '01001', 1), ('trawl', '22222', 1)]	3
